id,video_url,label
775,storage/bout/Tu7Z2ZGR6qo/combined/116.mp4,Attack right
3591,storage/bout/YSeodi2Crk8/combined/602.mp4,Attack right
12179,storage/bout/COfH7VQNlXU/combined/899.mp4,Attack right
1730,storage/bout/Ebj5yWjCdj0/combined/419.mp4,Attack right
788,storage/bout/Tu7Z2ZGR6qo/combined/570.mp4,Attack right
608,storage/bout/P5FXJs17MBs/combined/36.mp4,Attack right
7124,storage/bout/cEdL47kIzBA/combined/494.mp4,Attack right
142,storage/bout/jCQtFBGlrQI/combined/85.mp4,Attack right
5909,storage/bout/2zyRcGCO1P8/combined/559.mp4,Attack right
868,storage/bout/xH8ih_1PZOY/combined/752.mp4,Attack right
4037,storage/bout/rdHgMGY7uuI/combined/931.mp4,Attack right
1464,storage/bout/NG8cgGQ6x9c/combined/210.mp4,Attack right
2134,storage/bout/W28DXlCryQs/combined/337.mp4,Attack right
3933,storage/bout/_RLBc49grkE/combined/85.mp4,Attack right
683,storage/bout/lyUzYxaDQlw/combined/951.mp4,Attack right
2559,storage/bout/q0U2DAQIO_U/combined/579.mp4,Attack right
761,storage/bout/FOnYz-WgwQU/combined/733.mp4,Attack right
12789,storage/bout/zUHoSwPz1is/combined/153.mp4,Attack right
6621,storage/bout/hgxzvqPcWkI/combined/1025.mp4,Attack right
914,storage/bout/WtLno1Z9mEw/combined/1219.mp4,Attack right
6608,storage/bout/24uA35bMzXU/combined/423.mp4,Attack right
1954,storage/bout/9HE-fFeM83g/combined/757.mp4,Attack right
8802,storage/bout/qJ4fKFbITCQ/combined/1210.mp4,Attack right
2189,storage/bout/DbtbovVrfwQ/combined/891.mp4,Attack right
4299,storage/bout/3plXwLGn4yM/combined/694.mp4,Attack right
3260,storage/bout/SQRduNQEkEg/combined/796.mp4,Attack right
10058,storage/bout/Fndq860ajtI/combined/139.mp4,Attack right
2799,storage/bout/y5BTWDOdu3k/combined/217.mp4,Attack right
1319,storage/bout/xhgPF0DG7yU/combined/80.mp4,Attack right
1746,storage/bout/PMDhOczTEKo/combined/235.mp4,Attack right
1101,storage/bout/CD_OaN263kM/combined/55.mp4,Attack right
3958,storage/bout/5YdF8DE9sLc/combined/182.mp4,Attack right
1992,storage/bout/YjceRJadCtU/combined/834.mp4,Attack right
146,storage/bout/mm_ZMFNSg2I/combined/1012.mp4,Attack right
1617,storage/bout/bTBgOaQ5EFg/combined/740.mp4,Attack right
8306,storage/bout/7DOy2_SMmzA/combined/1441.mp4,Attack right
11986,storage/bout/J4RW7mIGl2U/combined/41.mp4,Attack right
5273,storage/bout/BjU-60SlwHY/combined/274.mp4,Attack right
4104,storage/bout/s_LZzZBX_tY/combined/180.mp4,Attack right
519,storage/bout/J3-mT2Z-MbE/combined/693.mp4,Attack right
4444,storage/bout/yXfD_F5beS4/combined/331.mp4,Attack right
6839,storage/bout/CK6-kL-M9jU/combined/694.mp4,Attack right
4105,storage/bout/s_LZzZBX_tY/combined/198.mp4,Attack right
7104,storage/bout/lU26reX_5kE/combined/613.mp4,Attack right
9232,storage/bout/3MbWUP0QnoQ/combined/110.mp4,Attack right
1293,storage/bout/xhgPF0DG7yU/combined/1231.mp4,Attack right
6865,storage/bout/dZ4wGHhTbD0/combined/705.mp4,Attack right
5294,storage/bout/Vd49gn8jUv8/combined/135.mp4,Attack right
12957,storage/bout/TOOp7oCowt8/combined/849.mp4,Attack right
5362,storage/bout/09qM0tJwtSg/combined/442.mp4,Attack right
1593,storage/bout/bTBgOaQ5EFg/combined/223.mp4,Attack right
11189,storage/bout/v7-6M0-2V9k/combined/745.mp4,Attack right
4397,storage/bout/dy3GTBt0gSk/combined/1656.mp4,Attack right
914,storage/bout/WtLno1Z9mEw/combined/1219.mp4,Attack right
4246,storage/bout/zy_S_xYpFy0/combined/523.mp4,Attack right
10768,storage/bout/g0MYuu4avwY/combined/618.mp4,Attack right
6369,storage/bout/KSMTA-847B0/combined/220.mp4,Attack right
142,storage/bout/jCQtFBGlrQI/combined/85.mp4,Attack right
11543,storage/bout/n1GZg9ILqVY/combined/629.mp4,Attack right
1173,storage/bout/zoSBkNh8dIs/combined/513.mp4,Attack right
1734,storage/bout/Ebj5yWjCdj0/combined/768.mp4,Attack right
2815,storage/bout/y5BTWDOdu3k/combined/732.mp4,Attack right
5736,storage/bout/nMcT0ZP8vyE/combined/769.mp4,Attack right
2003,storage/bout/X-rAkQlZK-U/combined/187.mp4,Attack right
96,storage/bout/sEuHDNqlLiw/combined/284.mp4,Attack right
1586,storage/bout/s8F7ikXMSmI/combined/933.mp4,Attack right
8973,storage/bout/W0iLsEkEf6w/combined/217.mp4,Attack right
2246,storage/bout/isvIrL08qmo/combined/772.mp4,Attack right
5304,storage/bout/Vd49gn8jUv8/combined/365.mp4,Attack right
2177,storage/bout/DbtbovVrfwQ/combined/659.mp4,Attack right
704,storage/bout/_nBlPkG5PCc/combined/663.mp4,Attack right
2496,storage/bout/wEw37Is0900/combined/1551.mp4,Attack right
3866,storage/bout/Fp_Z-O2WbT4/combined/64.mp4,Attack right
3515,storage/bout/FsurpNx67U4/combined/526.mp4,Attack right
