id,video_url,labels
3121,data1/boxing_storage/3121.mp4,Left Hand Head Punch
4038,data1/boxing_storage/4038.mp4,Left Hand Head Punch
2289,data1/boxing_storage/2289.mp4,Left Hand Head Punch
3606,data1/boxing_storage/3606.mp4,Left Hand Head Punch
3138,data1/boxing_storage/3138.mp4,Left Hand Head Punch
3020,data1/boxing_storage/3020.mp4,Left Hand Head Punch
2853,data1/boxing_storage/2853.mp4,Left Hand Head Punch
4491,data1/boxing_storage/4491.mp4,Left Hand Head Punch
360,data1/boxing_storage/360.mp4,Left Hand Head Punch
1246,data1/boxing_storage/1246.mp4,Left Hand Head Punch
3448,data1/boxing_storage/3448.mp4,Left Hand Head Punch
855,data1/boxing_storage/855.mp4,Left Hand Head Punch
4101,data1/boxing_storage/4101.mp4,Left Hand Head Punch
248,data1/boxing_storage/248.mp4,Left Hand Head Punch
3863,data1/boxing_storage/3863.mp4,Left Hand Head Punch
3106,data1/boxing_storage/3106.mp4,Left Hand Head Punch
2308,data1/boxing_storage/2308.mp4,Left Hand Head Punch
381,data1/boxing_storage/381.mp4,Left Hand Head Punch
3691,data1/boxing_storage/3691.mp4,Left Hand Head Punch
2075,data1/boxing_storage/2075.mp4,Left Hand Head Punch
880,data1/boxing_storage/880.mp4,Left Hand Head Punch
4171,data1/boxing_storage/4171.mp4,Left Hand Head Punch
3982,data1/boxing_storage/3982.mp4,Left Hand Head Punch
2162,data1/boxing_storage/2162.mp4,Left Hand Head Punch
992,data1/boxing_storage/992.mp4,Left Hand Head Punch
3394,data1/boxing_storage/3394.mp4,Left Hand Head Punch
2594,data1/boxing_storage/2594.mp4,Left Hand Head Punch
727,data1/boxing_storage/727.mp4,Left Hand Head Punch
3319,data1/boxing_storage/3319.mp4,Left Hand Head Punch
1216,data1/boxing_storage/1216.mp4,Left Hand Head Punch
3701,data1/boxing_storage/3701.mp4,Left Hand Head Punch
49,data1/boxing_storage/49.mp4,Left Hand Head Punch
668,data1/boxing_storage/668.mp4,Left Hand Head Punch
2023,data1/boxing_storage/2023.mp4,Left Hand Head Punch
2285,data1/boxing_storage/2285.mp4,Left Hand Head Punch
4338,data1/boxing_storage/4338.mp4,Left Hand Head Punch
1278,data1/boxing_storage/1278.mp4,Left Hand Head Punch
2975,data1/boxing_storage/2975.mp4,Left Hand Head Punch
1407,data1/boxing_storage/1407.mp4,Left Hand Head Punch
4146,data1/boxing_storage/4146.mp4,Left Hand Head Punch
1902,data1/boxing_storage/1902.mp4,Left Hand Head Punch
2650,data1/boxing_storage/2650.mp4,Left Hand Head Punch
512,data1/boxing_storage/512.mp4,Left Hand Head Punch
2598,data1/boxing_storage/2598.mp4,Left Hand Head Punch
1868,data1/boxing_storage/1868.mp4,Left Hand Head Punch
2598,data1/boxing_storage/2598.mp4,Left Hand Head Punch
1528,data1/boxing_storage/1528.mp4,Left Hand Head Punch
4357,data1/boxing_storage/4357.mp4,Left Hand Head Punch
3530,data1/boxing_storage/3530.mp4,Left Hand Head Punch
2233,data1/boxing_storage/2233.mp4,Left Hand Head Punch
4191,data1/boxing_storage/4191.mp4,Left Hand Head Punch
3249,data1/boxing_storage/3249.mp4,Left Hand Head Punch
4162,data1/boxing_storage/4162.mp4,Left Hand Head Punch
1744,data1/boxing_storage/1744.mp4,Left Hand Head Punch
44,data1/boxing_storage/44.mp4,Left Hand Head Punch
2249,data1/boxing_storage/2249.mp4,Left Hand Head Punch
457,data1/boxing_storage/457.mp4,Left Hand Head Punch
3614,data1/boxing_storage/3614.mp4,Left Hand Head Punch
995,data1/boxing_storage/995.mp4,Left Hand Head Punch
1642,data1/boxing_storage/1642.mp4,Left Hand Head Punch
806,data1/boxing_storage/806.mp4,Left Hand Head Punch
24,data1/boxing_storage/24.mp4,Left Hand Head Punch
640,data1/boxing_storage/640.mp4,Left Hand Head Punch
2090,data1/boxing_storage/2090.mp4,Left Hand Head Punch
3786,data1/boxing_storage/3786.mp4,Left Hand Head Punch
1534,data1/boxing_storage/1534.mp4,Left Hand Head Punch
2373,data1/boxing_storage/2373.mp4,Left Hand Head Punch
3775,data1/boxing_storage/3775.mp4,Left Hand Head Punch
269,data1/boxing_storage/269.mp4,Left Hand Head Punch
3848,data1/boxing_storage/3848.mp4,Left Hand Head Punch
2594,data1/boxing_storage/2594.mp4,Left Hand Head Punch
4081,data1/boxing_storage/4081.mp4,Left Hand Head Punch
4017,data1/boxing_storage/4017.mp4,Left Hand Head Punch
1401,data1/boxing_storage/1401.mp4,Left Hand Head Punch
2089,data1/boxing_storage/2089.mp4,Left Hand Head Punch
98,data1/boxing_storage/98.mp4,Left Hand Head Punch
553,data1/boxing_storage/553.mp4,Left Hand Head Punch
3052,data1/boxing_storage/3052.mp4,Left Hand Head Punch
4339,data1/boxing_storage/4339.mp4,Left Hand Head Punch
3932,data1/boxing_storage/3932.mp4,Left Hand Head Punch
2799,data1/boxing_storage/2799.mp4,Left Hand Head Punch
2790,data1/boxing_storage/2790.mp4,Left Hand Head Punch
3937,data1/boxing_storage/3937.mp4,Left Hand Head Punch
1536,data1/boxing_storage/1536.mp4,Left Hand Head Punch
3128,data1/boxing_storage/3128.mp4,Left Hand Head Punch
